Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2022-05-16,-0.143486955,-0.145318017,-0.140254748,21,100
Market-Adjusted Model,10028,2022-05-16,-0.023959441,-0.015868722,-0.020727233,21,100
Market-Adjusted Model,10032,2022-05-16,0.0451072669,0.0457083805,0.0483394747,21,100
Market-Adjusted Model,10044,2022-05-16,0.0211800058,0.030266911,0.0244122136,21,100
Market-Adjusted Model,10051,2022-05-16,-0.039537753,-0.02931185,-0.036305545,21,100
Market-Adjusted Model,10065,2022-05-16,-0.008894262,-0.006171637,-0.005662054,21,100
Market-Adjusted Model,10066,2022-05-16,0.0466471871,0.0632277936,0.0498793949,21,100
Market-Adjusted Model,10104,2022-05-16,-0.020163533,-0.016873641,-0.016931325,21,100
Market-Adjusted Model,10107,2022-05-16,-0.01796837,-0.013343433,-0.014736163,21,100
Market-Adjusted Model,10113,2022-05-16,0.0375045556,0.0395847958,0.0407367634,21,100
Market-Adjusted Model,10138,2022-05-16,0.0329160838,0.0409492749,0.0361482916,21,100
Market-Adjusted Model,10145,2022-05-16,0.0056511589,0.0077461472,0.0088833666,21,100
Market-Adjusted Model,10158,2022-05-16,0.1641554811,0.1841682887,0.1673876889,21,100
Market-Adjusted Model,10200,2022-05-16,0.0459806368,0.0558130585,0.0492128446,21,100
Market-Adjusted Model,10207,2022-05-16,0.0046296257,0.0061457266,0.0078618334,21,100
Market-Adjusted Model,10220,2022-05-16,-0.009538846,-0.006157494,-0.006306638,21,100
Market-Adjusted Model,10232,2022-05-16,0.0021692471,0.0300700453,0.0320828086,10,100
Market-Adjusted Model,10252,2022-05-16,0.0795748979,0.0775729236,0.0828071057,21,100
Market-Adjusted Model,10253,2022-05-16,-0.038692604,-0.004405005,-0.035460397,21,100
Market-Adjusted Model,10257,2022-05-16,0.0960264034,0.1076285666,0.0992586112,21,100
Market-Adjusted Model,10258,2022-05-16,-0.230114528,-0.232015896,-0.22688232,21,100
Market-Adjusted Model,10294,2022-05-16,0.1430589184,0.1490570129,0.1462911262,21,100
Market-Adjusted Model,10308,2022-05-16,0.0519632508,0.0519173121,0.0551954586,21,100
Market-Adjusted Model,10318,2022-05-16,0.009983793,0.0110551184,0.0132160007,21,100
